00000A00	Silverd
BC4C0F00	Icy White Crystal
BC4D0F00	Blessing of Nature III
BC4E0F00	Purple Scout Saddle
BC4F0F00	Hearty Grain Soup
BC500F00	Note from the Bank
BCE00100	Lasfeld Leather Gloves
BCE10100	Silverwolf Leather Gloves
BCF70300	Iris Warhammer
BD080200	Anderitz Leather Boots
BD1E0400	Caliburn's Mercy Pistol
BD420F00	Shield of Ringing
BD430F00	Plate Gloves of the Shadows
BD440F00	Roar of the Black Bear
BD450F00	Wanderer of Faith Leather Cloak
BD460F00	Odeck Wooden Club Mace
BD470F00	Azerian Soldier's Plate Armor
BD480F00	Rich Orange Dye
BD490F00	Purple Emperor Butterfly
BD4A0F00	Hagmund Saddle
BD4B0F00	Pailune Secret Vault
BD4C0F00	Twilight Crystal
BD4D0F00	Blessing of the Beast I
BD4E0F00	Purple Scout Stirrups
BD4F0F00	Satisfying Grain Soup
BD500F00	Haverson's Note
BD8A0100	Black Bears' Leather Helm
BDBB0100	Kednry Leather Armor
BDE00100	Wyrdins Leather Gloves
BDE10100	Rattu Cloth Gloves
BE070200	Layne Leather Boots
BE080200	Trilly Leather Boots
BE420F00	Scarlet Leafwing Butterfly
BE430F00	Plate Boots of the Shadows
BE440F00	Nacre Lacquer
BE450F00	Wanderer of Faith Leather Gloves
BE460F00	Savage Woodland Spirit Killer
BE470F00	Azerian Soldier's Plate Armor
BE480F00	Orange Dye
BE490F00	Southern Blue Peacock Butterfly
BE4A0F00	Memory of a Fallen Kingdom
BE4B0F00	Eerie Pit
BE4C0F00	Lilac Crystal
BE4D0F00	Blessing of the Beast II
BE4E0F00	Blue Scout Earring
BE4F0F00	Filling Grain Soup
BE500F00	Baker's Note
BE8A0100	Chelcia Plate Helm
BE8C2000	Hyena Helm
BED80100	Flame Swordsman Plate Gloves
BEE00100	Andria Leather Gloves
BEF70300	Gorthak Warhammer
BEFF0100	Lattua Plate Boots
BF080200	Fiore Leather Boots
BF420F00	Light of the Battlefield Cloth Cloak
BF430F00	Plate Cloak of the Shadows
BF440F00	Fine Fishing Rod
BF450F00	Wanderer of Faith Leather Boots
BF460F00	Journal
BF470F00	Azerian Soldier's Plate Armor
BF480F00	Dark Orange Dye
BF490F00	Nawab Butterfly
BF4A0F00	Kuku Lightning Spear
BF4B0F00	Hunters of Odeck
BF4C0F00	Icy White Processed Crystal
BF4D0F00	Blessing of the Beast III
BF4E0F00	Blue Scout Necklace
BF4F0F00	Hearty Steamed Eggs
BF500F00	Church Note
BFB10100	Tarandus Plate Armor
BFBF0100	Rabbit Leather Coat
BFFF0100	Icewing Plate Boots
C0080200	Perelli Leather Boots
C0420F00	Bounty Hunter's Cloth Armor
C0430F00	Arrow Skill Instructor Armor
C0440F00	Pororin Fishing Rod
C0450F00	Delesyian Guard Captain's Cloth Cloak
C0460F00	Air Blaster
C0470F00	Elemore Soldier's Plate Armor
C0480F00	Deep Orange Dye
C0490F00	Green Birdwing Butterfly
C04A0F00	Kuku Flame Spear
C04B0F00	Mossy Generator
C04C0F00	Twilight Processed Crystal
C04D0F00	Blessing of the Forest I
C04E0F00	Blue Scout Ring
C04F0F00	Satisfying Steamed Eggs
C0500F00	Flint's Note
C08A0100	Scorchflame Plate Helm
C0920100	Dekter Leather Helm
C0B10100	Enus Plate Armor
C0BF0100	Jester Leather Coat
C0D80100	Batz Plate Gloves
C0E00100	Larkri Leather Gloves
C0E10100	Lercent Leather Gloves
C1000000	InspectSocket 0
C1040000	InspectSocket 0
C1080000	InspectSocket 1
C10C0000	InspectSocket 0
C1100000	InspectSocket 1
C1140000	InspectSocket 0
C1180000	InspectSocket 1
C11C0000	InspectSocket 0
C1200000	InspectSocket 1
C1240000	InspectSocket 0
C1270900	Engraved Copper Earring
C1280000	InspectSocket 1
C12C0000	InspectSocket 0
C1300000	InspectSocket 1
C1340000	InspectSocket 0
C1380000	InspectSocket 1
C13C0000	InspectSocket 0
C1400000	InspectSocket 1
C1420F00	Bounty Hunter's Cloth Armor
C1430F00	Morgren Cloth Armor
C1440000	InspectSocket 0
C1440F00	Wells Military Tack Blueprint
C1450400	Arlen Musket
C1450F00	Delesyian Guard Captain's Armor
C1460F00	Pot
C1470F00	Elemore Soldier's Plate Armor
C1480000	InspectSocket 1
C1480F00	Broken Bismuth Ornament
C1490F00	Eighty-eight Butterfly
C14A0F00	Kuku Propeller Spear
C14B0F00	Unidentified Abyss Gear
C14C0000	InspectSocket 0
C14C0F00	Lilac Processed Crystal
C14D0F00	Blessing of the Forest II
C14E0F00	Blue Scout Lantern
C14F0F00	Filling Steamed Eggs
C1500000	InspectSocket 1
C1500F00	Potter's Journal
C1540000	InspectSocket 0
C1580000	InspectSocket 1
C15C0000	InspectSocket 0
C1600000	InspectSocket 1
C1640000	InspectSocket 0
C1680000	InspectSocket 1
C16C0000	InspectSocket 0
C1700000	InspectSocket 1
C1740000	InspectSocket 0
C1780000	InspectSocket 1
C1790900	Dev Red Dragon HorseArmor Helm
C17C0000	InspectSocket 0
C1800000	InspectSocket 1
C1840000	InspectSocket 0
C1880000	InspectSocket 1
C18A0100	Inyr Plate Helm
C18C0000	InspectSocket 0
C1900000	InspectSocket 1
C1920100	Shellus Leather Helm
C1940000	InspectSocket 0
C1980000	InspectSocket 1
C19C0000	InspectSocket 0
C1B50100	Kallari Chain Mail
C1D80100	Tarandus Plate Gloves
C1E10100	Duskfang Leather Gloves
C1FF0100	Inquisitor's Plate Boots
C2270900	Engraved Silver Earring
C234600E	Blacksteel Spiddle Plate Armor
C23E2000	Duskfang Leather Armor
C2420F00	Bounty Hunter's Cloth Armor
C2430F00	Missing Cows
C2440F00	Red Seaweed
C2450400	Bekker Musket
C2450F00	Memory of Tide
C2470F00	Elemore Soldier's Plate Armor
C2480F00	Angular Bismuth Ornament
C2490F00	Crimson Warden's Leather Boots
C24A0F00	Kuku Disruptor Spear
C24B0F00	Mistwood Hunters' Hideout
C24C0F00	Gorthak
C24D0F00	Blessing of the Forest III
C24E0F00	Blue Scout Hat
C24F0F00	Hearty Meat Soup
C2500F00	Howling of Chaos
C25FF826	Worn Sarantos Leather Boots
C2790900	Dev Red Dragon HorseArmor Saddle
C28A0100	Rueconec Plate Helm
C2960100	Lashiras Cowl
C29FBF30	Dumenis Plate Helm
C2B50100	Tormand Chain Mail
C2BE0100	Telford Cloth Armor
C2D80100	Scorchflame Plate Gloves
C3270900	Engraved Gold Earring
C3400C00	Notorious Thief's Map Piece 1
C3420F00	Bounty Hunter's Leather Helm
C3430F00	Hornless Goats
C3440F00	Pelt
C3450400	Delesyian Musket
C3450F00	Count Grace's Journal
C3460F00	Tree Frog
C3470F00	Opossum
C3480F00	Round Bismuth Ornament
C3490F00	A.T.A.G. Pincers
C34A0F00	Kuku Laser Cannon Spear
C34B0F00	Ridgehunter Tannery
C34C0F00	Marni's Secret Laboratory
C34D0F00	Service I
C34E0F00	Blue Scout Armor
C34F0F00	Satisfying Meat Soup
C3500F00	Judgment of the Soul
C3790900	Dev Red Dragon HorseArmor Stirrup
C38A0100	Calio Plate Helm
C3B50100	Hasets Chain Mail
C3D80100	Camsen Plate Gloves
C4400C00	Notorious Thief's Map Piece 2
C4420F00	Bounty Hunter's Leather Armor
C4430F00	Lair of Animal Thieves
C4440F00	Grilled Meat
C4450400	Wells Musket
C4450F00	Frozen Heart Plate Boots
C4470F00	Byron's Soldier Plate Armor
C4480F00	Fennel
C4490F00	Bounty on the Bloodied Monster
C44A0F00	Kuku Flamespitter
C44B0F00	Unidentified Abyss Gear
C44D0F00	Service II
C44E0F00	Blue Scout Cloak
C44F0F00	Filling Meat Soup
C4500F00	Castiel's Note
C4790900	Dev Red Dragon HorseArmor Armor
C4960100	Dark Ringleader's Cloth Helm
C4B50100	Killi Chain Mail
C4E10100	Dram Leather Bracers
C5070200	Kadallon's Leather Boots
C5100300	White Wind Rapier
C5270900	Golden Deer's Tear
C5400C00	Notorious Thief's Map Piece 3
C5420F00	Bounty Hunter's Leather Armor
C5430F00	Notepad
C5440F00	Grilled Fish
C5450400	Leofric Musket
C5450F00	Staglord Acolyte's Leather Armor
C5460F00	Burrowing Toad
C5470F00	Windmere Standard Plate Armor
C5480F00	Split Tooth
C5490F00	Black Bears Banner Pike with Tassel
C54A0F00	Kuku Frostspitter
C54B0F00	Coast Windmill Shipwreck
C54D0F00	Service III
C54E0F00	Blue Scout Shield
C54F0F00	Hearty Braised Ribs
C5500F00	Stained Work Log
C5790900	Dev Red Dragon Ring Str HP
C5B50100	Valton Chain Mail
C5BF0100	Chelcia Plate Armor
C5D80100	Dimfeld Plate Gloves
C5E00100	Rossbara Leather Gloves
C5E10100	Bunce Leather Gloves
C5FF0100	Canta Plate Boots
C6100300	Hollow Visage
C6420F00	Bounty Hunter's Leather Armor
C6430F00	Feather Pen
C6440F00	Flour
C6450F00	Varnian Guard Captain's Cloth Armor
C6460F00	Satisfying Smoked Eggs
C6470F00	Byron's Soldier Plate Armor
C6480F00	Barley
C6490F00	Trukan Cloth Cloak
C64A0F00	Enhanced Kuku Pot
C64B0F00	Stonemire Ruins
C64D0F00	Aptitude I
C64E0F00	Blue Scout Champron
C64F0F00	Satisfying Braised Ribs
C6500F00	Ancient Wrath
C66E0400	Gilliam Large Shield
C6790900	Dev Red Dragon Ring Def HP
C68A0100	Ashford Plate Helm
C68C2000	Insulated Gloves
C6BF0100	Anti-Meyer Plate Armor
C6E00100	Blyne Leather Bracers
C6E10100	Maters Leather Gloves
C73E8041	Blacksteel Lotas Plate Helm
C7420F00	Thick Hunter's Leather Gloves
C7430F00	Golden Star's Power Core
C7440F00	Fragrant Fruit Wine
C7450F00	Varnian Guard Captain's Cloth Cloak
C7460F00	Filling Smoked Eggs
C7470F00	Byron's Soldier Plate Armor
C7480F00	Strawberry
C7490F00	Flame Knight's Plate Helm
C74A0F00	Right Hand Boulder
C74B0F00	Cliff Edge Altar
C74D0F00	Aptitude II
C74E0F00	Blue Scout Saddle
C74F0F00	Filling Braised Ribs
C7500F00	Gear Blueprint: Greysoul Howling
C76E0400	Lifsoth Large Shield
C7790900	Dev Red Dragon Ring MP Stamina
C7960100	Sian Cloth Cap
C7AFD560	Meyer Plate Armor
C7C36B58	Inquisitor's Plate Helm
C8100300	Dekarr Sword
C8420F00	Strapped Bounty Hunter's Leather Boots
C8430F00	Haiden's Greater Elixir
C8440F00	Finely Ground Salt
C8450F00	Varnian Guard Captain's Plate Helm
C8460F00	Hearty Grilled Meat
C8470F00	Chipmunk
C8480F00	Elderberry
C8490F00	White Butterfly
C84A0F00	[QA] Profiling (Hernand-Pailune 20)
C84B0F00	Smugglers' Dock
C84D0F00	Aptitude III
C84E0F00	Blue Scout Stirrups
C84F0F00	Hearty Fish Porridge
C8500F00	Gear Blueprint: Shadow Claw
C86E0400	Reinforced Warspike Large Shield
C8790900	Dev Red Dragon Ring Immune
C8920100	Scholastone Cap
C8960100	Karas Cloth Headband
C8970400	Aeserion Bow
C8AB627A	Bleed Bandits' Makeshift Gas Mask
C8D80100	Agatha's Plate Gloves
C9080200	Lasian Leather Boots
C9420F00	Crow Bounty Plate Helm
C9430F00	Maegu's Letter
C9440F00	Grilled Vegetables
C9450F00	Memories of the Northern Winds
C9460F00	Satisfying Grilled Meat
C9470F00	North Wind Shield
C9480F00	Pomegranate
C9490F00	Green Sulphur Butterfly
C94A0F00	Creaky Fishing Dock
C94B0F00	Meteorite
C94D0F00	Energy Drain I
C94E0F00	[QA] Profiling (Demeniss-Delesyia 2.5)
C94F0F00	Satisfying Fish Porridge
C9500F00	Gear Blueprint: Queen's Fangs
C9710B00	Orange
C98C2000	Crude Devil Mask
C9960100	Larkett Cloth Cap
C9970400	Crimson Warden's Bow
C9B50100	Lucnaon Chain Mail
C9BF0100	Anti-Crail Plate Armor
C9D80100	Ashad Plate Gloves
C9E10100	Rannys Leather Gloves
C9EDB665	Kinloch Plate Armor
CA080200	Ludynn Leather Greaves
CA420F00	Bounty Hunter's Plate Armor
CA430F00	Demeniss Royal Guard Shield
CA440F00	Grilled Fruit
CA450F00	Golden Greed Plate Helm
CA460F00	The Knowledge Helm
CA470F00	Careful Observation of H.A.L.L.
CA490F00	Violet Hairstreak Butterfly
CA4A0F00	Jofroy's Poster
CA4B0F00	Helmara Scrap Graveyard
CA4D0F00	Energy Drain II
CA4E0F00	[QA] Profiling (Demeniss-Delesyia 20)
CA4F0F00	Filling Fish Porridge
CA500F00	Gear Blueprint: Ancient Wrath
CA6E0400	Thalwynd Large Shield
CA960100	Lashir Cloth Cap
CAB10100	Grey Wolf Leather Armor
CAB90100	Beastman Leather Armor
CAD80100	Solas Plate Gloves
CAEEEF00	Dreer Plate Armor
CB070200	Pierpont Leather Boots
CB080200	Kurua Leather Boots
CB420F00	Sir Catfish's Plate Gloves
CB430F00	Demenissian Silver-Decorated Shield
CB450F00	Abidon Fabric Helm T5 QA
CB460F00	Lightning Spear
CB470F00	Rosbar Champron
CB480F00	Pineapple
CB490F00	Spotted Lycaenid Butterfly
CB4A0F00	Marielle's Poster
CB4B0F00	Hat Shaped Boulder
CB4D0F00	Energy Drain III
CB4E0F00	Dewhaven Standard Plate Helm
CB4F0F00	Hearty Meat and Vegetable Porridge
CB500F00	Gear Blueprint: Ancient Retribution
CB6D0B00	Hay
CB960100	Drish Cloth Cap
CBB50100	Lucnian Chain Mail
CC080200	Stoddard Leather Boots
CC420F00	Sir Catfish's Plate Boots
CC430F00	Enset
CC440F00	Smoked Egg
CC450F00	Scalaphynion Fabric Helm T4 QA
CC460F00	Ryan's Cloth Armor
CC470F00	Kuku Pot Special Blueprint
CC480F00	Coffee Cherry
CC490F00	Bluewing Butterfly
CC4A0F00	Delkin's Poster
CC4B0F00	Unidentifiable Corpse
CC4D0F00	Sighting of Royler
CC4E0F00	Gorio's Poster
CC4F0F00	Satisfying Meat and Vegetable Porridge
CC500F00	Gear Blueprint: Putrid Touch
CC6E0400	Lucon Large Shield
CC8A0100	Lyfellen Plate Helm
CC960100	Triloan Cloth Headband
CCBB0100	Vainbridge Cloth Armor
CCE00100	Rhinard Leather Gloves
CD080200	Wattern Leather Boots
CD400C00	Legendary Armor Map Piece 1
CD420F00	Recipe: Braised Fish
CD430F00	Prickly Pear
CD440F00	Grilled Meat and Fish
CD450F00	Tychaon Fabric Armor T5 QA
CD460F00	Filling Grilled Meat
CD470F00	Rhinoceros Beetle
CD490F00	Orange Oakleaf Butterfly
CD4A0F00	Tina's Poster
CD4B0F00	Ruins by the Saltroad Camp
CD4D0F00	Sighting of Rokade
CD4E0F00	Harry's Poster
CD4F0F00	Filling Meat and Vegetable Porridge
CD500F00	Gear Blueprint: Parting Gift
CD6E0400	Rhonid Large Shield
CDB50100	Dunion Chain Mail
CDFF0100	Batz Plate Boots
CE070200	Dyrfrith Leather Boots
CE080200	Badran Leather Boots
CE400C00	Legendary Armor Map Piece 2
CE420F00	Ginseng
CE430F00	Chaya
CE440F00	Meat Skewers
CE450F00	Tychaon Fabric Cloak T5 QA
CE460F00	Greymane Signet
CE470F00	Khaled Shield
CE480F00	Silver-Decorated Water Bottle
CE490F00	Trap Bomb
CE4A0F00	Bran's Poster
CE4B0F00	Desert Swamp
CE4D0F00	Sighting of Camora
CE4E0F00	Bargul's Poster
CE4F0F00	Hearty Meat and Fish Porridge
CE500F00	Gear Blueprint: Howling of Chaos
CE6E0400	Balton Large Shield
CEB50100	Dragon Flame Armor
CEFF0100	Chelcia Plate Boots
CF080200	Hauvern Leather Boots
CF3E2000	Helpaia Leather Armor
CF400C00	Legendary Armor Map Piece 3
CF420F00	Miner's Lantern Hat
CF430F00	Ice Magic Bullet
CF440F00	Braised Meat
CF450F00	Scalaphynion Fabric Armor T4 QA
CF460F00	Demenissian Signet
CF470F00	Gear Blueprint: Groundsurge
CF480F00	Wide-Mouthed Water Bottle
CF490F00	Itano Cannonball
CF4A0F00	Temir's Poster
CF4B0F00	Sacred Chalice
CF4D0F00	Sighting of the White Bear
CF4E0F00	Gunter's Poster
CF4F0F00	Satisfying Meat and Fish Porridge
CF500F00	Gear Blueprint: Lightning God's Affliction
CF6D0B00	Sugar Beet
CF6E0400	Rekel Large Shield
CF8C2000	Goldleaf Soldier Cloth Headband
CF960100	Ruckshi Cloth Cap
CFB50100	Dragon Knight Warrior's Plate Armor
CFFF0100	Ashad Plate Boots
D0070200	Ashen Wolf's Leather Boots
D0080200	Begill Leather Boots
D0400C00	Ercaid's Treasure Map Piece 1
D0420F00	Small Grilled Fish
D0430F00	Amaranth
D0440F00	Clear Soup
D0450F00	Scalaphynion Fabric Cloak T4 QA
D0460F00	Delesyian Signet
D0470F00	Flameward I
D0480F00	Small Pot for Boiling
D0490F00	Green Coral Reef Earring
D04A0F00	Trolmagg's Poster
D04B0F00	Well of Enlightenment
D04D0F00	Giant White Bison Sighting
D04E0F00	Lola's Poster
D04F0F00	Filling Meat and Fish Porridge
D0500F00	Gear Blueprint: Beastbane
D08C2000	Goldleaves' Cone Leather Helm
D0960100	Rhytrian Cloth Cap
D0B50100	Dragon Knight Chain Mail
D0BF0100	Scarlet Blades Cloth Armor
D0E10100	Dane Leather Bands
D0FF0100	Solas Plate Boots
D1080200	Dreiger Leather Boots
D13E2000	Dvalin Cloth Armor
D1400C00	Ercaid's Treasure Map Piece 2
D1420F00	White Streaked butterfly
D1430F00	Two-Handed Weapons of the World, Vol. I
D1440F00	Artisan's Ornamented Shield
D1450400	Helms Musket
D1450F00	Heisellen Fabric Cloak T1 QA
D1460F00	Desert Marauder's Plate Armor
D1470F00	Flameward II
D1480F00	Blue-Glazed Container
D1490F00	Light Fist Magic Bullet
D14A0F00	Olanelle's Poster
D14B0F00	Bloodstained Street
D14D0F00	Sighting of the Phoenix
D14E0F00	Richart's Poster
D14F0F00	Hearty Fishball Soup
D1500F00	Gear Blueprint: Abyssbane
D16C0400	Balton Shield
D18A0100	Kiatus Plate Helm
D18C2000	Goldleaves' Short Leather Boots
D2080200	Esha Leather Boots
D2100300	Sword of the Lord
D2400C00	Ercaid's Treasure Map Piece 3
D2420F00	Kuku Bird's Egg
D2430F00	Two-Handed Weapons of the World, Vol. II
D2440F00	Greymane Contribution
D2450400	Pailunese Musket
D2450F00	Reeddevil Fabric Gloves T5 QA
D2460F00	Golden Sword
D2470F00	Flameward III
D2480F00	Black Ceramic Water Bottle
D2490F00	Delesyian Soldier's Cloth Barding
D24A0F00	Kiki's Poster
D24B0F00	Verheim Ruins
D24D0F00	Sighting of Skevald, the Carrion King
D24E0900	Engraved Silver Necklace
D24E0F00	Eldred's Poster
D24F0F00	Satisfying Fishball Soup
D2500F00	Gear Blueprint: Energy Drain
D2875746	Empty Pack
D28C2000	Goldleaves' Leather Helm
D2C61100	Scholastone Uniform
D2D80100	Pernicia Plate Gloves
D2FF0100	Serval Plate Boots
D3420F00	Great Purple Hairstreak Butterfly
D3430F00	Two-Handed Weapons of the World, Vol. III
D3440F00	Feather
D3450400	Gustav Musket
D3450F00	Tarif Fabric Gloves T4 QA
D3460F00	Lars's Cloth Armor
D3470F00	Shield of Sacrifice
D3480F00	Fine Pickaxe
D3490F00	Snow Magic Bullet
D34A0F00	Khron's Poster
D34B0F00	Rocking Boulder
D34C0F00	Quarry Manager's Log
D34D0F00	Golden Tench Sighting
D34E0F00	Rocco's Poster
D34F0F00	Filling Fishball Soup
D3500F00	Gear Blueprint: Life Transference
D36E0400	Lanford Large Shield
D3710B00	Tomato
D38C2000	Flame Knight's Leather Boots
D3C61100	Pororin Cloth Attire
D3D80100	Ferman Plate Gloves
D3FF0100	Tyrdall Leather Boots
D4070200	Ironwilled Guardian's Leather Boots
D4412000	Leddic Cloth Armor
D4420F00	Mysterious Letter
D4430F00	Two-Handed Weapons of the World, Vol. IV
D4440F00	Large Bone
D4450F00	Tarif Fabric Gloves T3 QA
D4460F00	Turncoat Plate Helm
D4470F00	Shield of the Phantom
D4480F00	Yellow-Glazed Water Bottle
D4490F00	Schtump Cloth Cloak
D44A0F00	Grannard's Poster
D44B0F00	Shipyard Wood Knot
D44D0F00	Sighting of the Coelacanth
D44E0900	Engraved Copper Necklace
D44E0F00	Tigerfang Ring
D44F0F00	Hearty Seafood Soup
D4500F00	Gear Blueprint: Spirit Transference
D46E0400	The Laughing Marionette Shield
D4960100	Gadereich Cloth Cap
D5080200	Vixer Leather Shoes
D5100300	Spada Sword
D53D0C00	Engraved Key
D5412000	Lacas Cloth Armor
D5420F00	Wooden Rake
D5430F00	Ranged Weapons of the World - Bows, Vol. I
D5440F00	Wool
D5450F00	Hanbok Fabric Gloves T1 QA
D5460F00	Peach Seed
D5470F00	A.T.A.G. Boots Mk I
D5480F00	Light Green-Glazed Water Bottle
D5490F00	Vulker Leather Gloves
D54A0F00	Hagmund Champron
D54B0F00	A Well with a Story
D54C0F00	Engraved Stone
D54D0F00	Sighting of the Golden Coelacanth
D54E0F00	White Lion Necklace
D54F0F00	Satisfying Seafood Soup
D5500F00	Gear Blueprint: Stamina Transference
D58A0100	Rahbae Plate Helm
D58C2000	Shadowleaf Outfit
D5960100	Ludynn Cloth Cap
D5D0202D	Crutch
D5FF0100	Antumbra Plate Boots
D6412000	Rikkas Cloth Armor
D6420F00	Recipe: Fish Porridge
D6430F00	Ranged Weapons of the World - Bows, Vol. II
D6450F00	Reeddevil Fabric Boots T5 QA
D6460F00	Staglord Acolyte's Leather Armor
D6470F00	Sealed Abyss Artifact
D6480F00	Clay-Handled Water Bottle
D6490F00	Leffri's Leather Gloves
D64A0F00	Small Battery
D64B0F00	Branch of Birds
D64C0F00	[QA] Profiling (Hernand)
D64D0F00	Sighting of the Golden Carp
D64E0F00	Black Lion Earring
D64F0F00	Filling Seafood Soup
D6500F00	Gear Blueprint: Relentless
D68A0100	Goldbranch Plate Crown
D68C2000	Shadowleaf Helm
D6960100	Marc Cloth Headband
D6AA2219	Mentz Plate Helm
D7080200	Meravan Leather Boots
D7100300	Acria Sword
D71A2000	Larsan Cloth Headband
D7400C00	Farmer's Treasure Map Piece 1
D7412000	Lauta Cloth Armor
D7420F00	Dagger of Radiance
D7430F00	Ranged Weapons of the World - Bows, Vol. III
D7440F00	Short Horn
D7450F00	Tarif Fabric Boots T4 QA
D7460F00	Pure White Dye
D7470F00	Snowfield Chipmunk
D7480F00	Pot
D7490F00	Leffri's Leather Gloves
D74A0F00	Seal of Devotion
D74B0F00	Hayroof Farm Fireflies
D74C0F00	[QA] Profiling (Hernand-Demeniss 60)
D74D0F00	Sighting of the Clockwork Fish
D74E0F00	Pale Predator's Leather Gloves
D74F0F00	Hearty Vegetable and Seafood Porridge
D7500F00	Small Battery
D78C2000	Shadowleaf Gloves
D7960100	Harker Cloth Cap
D8080200	Salmae Leather Shoes
D81A2000	Ricksley Cloth Cap
D8400C00	Farmer's Treasure Map Piece 2
D8412000	Marindo Cloth Armor
D8420F00	Fire Magic Bullet
D8430F00	Ranged Weapons of the World - Bows, Vol. IV
D8440F00	Packaged Field Cloth Armor
D8450F00	Tarif Fabric Boots T3 QA
D8460F00	Witch's Storehouse Key
D8470F00	Red Squirrel
D8480F00	Swords Box
D8490F00	Laurent's Leather Gloves
D84A0F00	The Ivory Messenger
D84B0F00	Unidentified Abyss Gear
D84C0F00	Gear Blueprint: Destruction
D84D0F00	Forrex's Note
D84E0F00	Letter of Fortune
D84F0F00	Satisfying Vegetable and Seafood Porridge
D8500F00	Gear Blueprint: Ledgermain
D8710B00	Wild Honey
D88C2000	Shadowleaf Boots
D8E10100	Reak Leather Gloves
D9080200	Nehrut Leather Shoes
D9100300	Legionary's Gladius
D9400C00	Farmer's Treasure Map Piece 3
D9412000	Killua Cloth Armor
D9420F00	Water Magic Bullet
D9430F00	Ranged Weapons of the World - Guns, Vol. I
D9440F00	Packaged Field Chain Mail
D9450F00	Deer King Leather Helm T4 QA
D9460F00	Musket Border Guard Standard Armor
D9470F00	Shadow Grey Dye
D9480F00	Weapons Box
D9490F00	Harkias Leather Gloves
D94A0F00	Wrecked Keglord
D94B0F00	Demeniss Cabin
D94C0F00	Engraved Stone
D94D0F00	Greater Insight
D94E0F00	Note with a Suspicious Symbol
D94F0F00	Filling Vegetable and Seafood Porridge
D9500F00	Gear Blueprint: Blessing of the Earth
D9673065	Large Enratte Plate Helm
D9710B00	Wild Rock Honey
D9E00100	Sleishorn Leather Gloves
DA070200	Sarantos Leather Boots
DA080200	Juman Leather Boots
DA100300	Survivor's Solitude
DA300000	Silver Fang Helm
DA400C00	Farmer's Treasure Map Piece 4
DA412000	Larcotti Cloth Armor
DA420F00	Recipe: Battered Fish
DA430F00	Ranged Weapons of the World - Guns, Vol. II
DA440F00	Red Ginseng
DA450F00	Tesslit Leather Helm T2 QA
DA460F00	Dusksongs Leather Armor
DA470F00	Flying Squirrel
DA480F00	Teapot
DA490F00	Guardian Plate Armor
DA4A0F00	Secret of the Abandoned Mine
DA4B0F00	Gorgerock Watchtower
DA4C0F00	Gear Blueprint: Insight
DA4D0F00	Greater Swift
DA4E0F00	Decorative Iron Plate
DA4F0F00	Hearty Longhorn Soup
DA500F00	Gear Blueprint: Blessing of Nature
DA960100	Veronde Cloth Cap
DAD80100	Grey Wolf Leather Gloves
DAE10100	Badran Leather Gloves
DB1A2000	Deccain Cloth Headband
DB3B4067	Levin Plate Armor
DB412000	Liorna Cloth Armor
DB420F00	Fine Logging Axe
DB430F00	Ranged Weapons of the World - Guns, Vol. III
DB440F00	Well-Aged Cheese
DB450F00	Douglas Leather Armor T5 QA
DB460F00	Dusksongs Leather Boots
DB470F00	Kuku Rocket Pack
DB480F00	Iron Basin
DB490F00	Leather Strap Gourd Bottle
DB4A0F00	Elegant Carmine Helm Blueprint
DB4B0F00	Savage Fangs Monument
DB4C0F00	Apple Pack
DB4D0F00	Cogwheel
DB4E0F00	Ceremonial Bowl
DB4F0F00	Satisfying Longhorn Soup
DB500F00	Gear Blueprint: Blessing of the Beast
DB6E0400	Bekker Large Shield
DB960100	Ghaltain Cloth Cap
DBE00100	Mornington Cloth Gloves
DBE10100	Rigma Leather Gloves
DC100300	Shackle of Might
DC370000	Executioner of Darkness Plate Gloves
DC412000	Mauryth Cloth Armor
DC420F00	Eastern Witch's Fan
DC430F00	Faded Earring
DC440F00	Fish Meat
DC450F00	Deerking Leather Armor T4 QA
DC460F00	Dusksongs Plate Armor
DC470F00	Gear Blueprint: Rend
DC480F00	Hourglass
DC490F00	Plaid Gourd Bottle
DC4A0F00	Elegant Carmine Armor Blueprint
DC4B0F00	Jungle Ruins
DC4C0F00	[QA] Profiling (Hernand-Demeniss 20)
DC4D0F00	Greater Flameward
DC4E0F00	Gear Blueprint: Disarm
DC4F0F00	Filling Longhorn Soup
DC500F00	Gear Blueprint: Service
DCA9570C	Bandit's Scale Leather Gloves
DCE10100	Verdesh Leather Gloves
DD1A2000	Skian Cloth Cap
DD370000	Plate Gloves of Cursed Soul
DD420F00	Bounty Notice - Skevald, the Carrion King
DD430F00	Ranged Weapons of the World - Guns, Vol. IV
DD440F00	Mysterious Dish
DD450F00	Douglas Leather Gloves T5 QA
DD460F00	Dusksongs Plate Gloves
DD470F00	Rescue Puppy Outfit
DD480F00	Ornate Magnifying Glass
DD490F00	Combat God's Plate Gloves
DD4A0F00	Hidden Treasure Map Piece 3
DD4B0F00	Rockveil Ruins
DD4C0F00	[QA] Profiling (Hernand-Demeniss 2.5)
DD4D0F00	Greater Frostward
DD4E0F00	Disarm I
DD4F0F00	Hearty Pan-Fried Rice Cakes
DD500F00	Gear Blueprint: Aptitude
DD8B0B00	Grisette Mushroom
DDE00100	Bandellure Leather Gloves
DDE10100	Jasmern Leather Gloves
DE1A2000	Laplian Cloth Cap
DE2BF823	Blacksteel Renkshaw Plate Helm
DE370000	Crimson Chaser Chain Gloves
DE420F00	Recipe: Pickled Vegetables
